ID	TD	ploidy	td_sum	file	norm	norm_td	name
RECQL5	35	1	350031508	recq5-2-single-c12-w9_.trimmed.mdup.bam	350031508	35	HMM
RECQL5	39	1	338918585	recq5-2-single-c10-w45-3d6_S390_.trimmed.mdup.bam	338918585	39	HMM
RECQL5	27	1	318027197	recq5-2-single-c11-w37_.trimmed.mdup.bam	318027197	27	HMM
BLM	69	1	333961204	blm-1-single-f6-r1-c1_S50_.trimmed.mdup.bam	333961204	69	HMM
BLM/RECQL5	24	1	283296653	blm_recq5-2-single-c15-w15_.trimmed.mdup.bam	283296653	24	HMM
BLM	47	1	283906539	blm-1-single-c9-w15_.trimmed.mdup.bam	283906539	47	HMM
BLM	34	1	375794208	blm-1-single-c10-w34_.trimmed.mdup.bam	375794208	34	HMM
BLM	32	1	415164119	blm-1-single-c10-w41_.trimmed.mdup.bam	415164119	32	HMM
BLM/RECQL5	50	1	379591169	blm-recq5-1-single-f15-r7-c6_S538_.trimmed.mdup.bam	379591169	50	HMM
BLM/RECQL5	49	1	417401602	blm-recq5-1-single-f15-r7-c1_S533_.trimmed.mdup.bam	417401602	49	HMM
BLM/RECQL5	30	1	365437165	blm_recq5-2-single-c15-w32_.trimmed.mdup.bam	365437165	30	HMM
BLM/RECQL5	31	1	347241974	blm_recq5-2-single-c16-w7_.trimmed.mdup.bam	347241974	31	HMM
BLM	24	1	296234162	blm-1-single-c9-w43-3d6_S339_.trimmed.mdup.bam	296234162	24	HMM
BLM	33	1	359552796	blm-1-single-c10-w11_.trimmed.mdup.bam	359552796	33	HMM
BLM	48	1	302605448	blm-1-single-f5-r6-c5_S40_.trimmed.mdup.bam	302605448	48	HMM
BLM	60	1	351866975	blm-1-single-f6-r6-c4_S88_.trimmed.mdup.bam	351866975	60	HMM
BLM	104	1	324433066	blm-1-single-f5-r1-c1_S1_.trimmed.mdup.bam	324433066	104	HMM
BLM	19	1	297680194	blm-1-single-f7-r2-c6_S111_.trimmed.mdup.bam	297680194	19	HMM
BLM	42	1	362098049	blm-1-single-f5-r1-c3_S3_.trimmed.mdup.bam	362098049	42	HMM
BLM	49	1	352541742	blm-1-single-f7-r6-c4_S137_.trimmed.mdup.bam	352541742	49	HMM
BLM	41	1	392042122	blm-1-single-f7-r5-c2_S128_.trimmed.mdup.bam	392042122	41	HMM
BLM	46	1	397768240	blm-1-single-f5-r1-c2_S2_.trimmed.mdup.bam	397768240	46	HMM
BLM	39	1	329490683	blm-1-single-f7-r6-c3_S136_.trimmed.mdup.bam	329490683	39	HMM
BLM	42	1	340891010	blm-1-single-c9-w31_.trimmed.mdup.bam	340891010	42	HMM
BLM	40	1	334942280	blm-1-single-c10-w19_.trimmed.mdup.bam	334942280	40	HMM
BLM	45	1	361593743	blm-1-single-f7-r4-c3_S122_.trimmed.mdup.bam	361593743	45	HMM
BLM	26	1	290265391	blm-1-single-f5-r4-c7_S28_.trimmed.mdup.bam	290265391	26	HMM
BLM	46	1	367181761	blm-1-single-f7-r1-c1_S99_.trimmed.mdup.bam	367181761	46	HMM
BLM	132	1	319192121	blm-1-single-c10-w31_.trimmed.mdup.bam	319192121	132	HMM
BLM/RECQL5	57	1	288122128	blm-recq5-1-single-f15-r7-c5_S537_.trimmed.mdup.bam	288122128	57	HMM
BLM/RECQL5	49	1	391526898	blm-recq5-1-single-f15-r4-c1_S512_.trimmed.mdup.bam	391526898	49	HMM
BLM/RECQL5	50	1	333518435	blm_recq5-2-single-c16-w15_.trimmed.mdup.bam	333518435	50	HMM
BLM/RECQL5	122	1	318114447	blm-recq5-1-single-f14-r6-c3_S479_.trimmed.mdup.bam	318114447	122	HMM
BLM/RECQL5	107	1	266298048	blm-recq5-1-single-f14-r5-c3_S472_.trimmed.mdup.bam	266298048	107	HMM
BLM/RECQL5	99	1	340494544	blm_recq5-2-single-c15-w24_.trimmed.mdup.bam	340494544	99	HMM
BLM/RECQL5	62	1	268107866	blm_recq5-2-single-c15-w27_.trimmed.mdup.bam	268107866	62	HMM
